Tx_0 Batt,Tx_0 Time,Tx_1 Batt,Tx_1 Time,Tx_2 Batt,Tx_2 Time,Tx_3 Batt,Tx_3 Time,Tx_4 Batt,Tx_4 Time,Tx_5 Batt,Tx_5 Time,Tx_6 Batt,Tx_6 Time,Tx_7 Batt,Tx_7 Time,X_Coord,Y_Coord,Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-59.04991616276628,-78.98459801636524,-75.79955969586378,-79.08367420798535,,-73.55635266176513,-72.10623133961091,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-57.1722584407658,-79.8980970557003,-75.39098937284393,-76.36745726699702,,-74.02891081654828,-71.82565826915094,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.05508282662143,-72.85234081463737,-73.94824890350674,-73.91452284123237,,-76.77892593119778,-70.42945726716698,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-57.17728620737404,-74.30303331125738,-71.84803024322444,-79.8214559244928,,-74.90024139134272,-68.90291256945758,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.05389518107512,-74.15808150656578,-72.24123701418804,-78.37503516676672,,-75.21973635875251,-69.17260246386317,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-63.270897982612695,-78.05255654414157,-70.69741435090755,-78.06958249974267,,-76.08367420798535,-74.08367420798535,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-60.04901792957516,-78.42805730603222,-75.36742892839575,-78.33964026686559,,-74.77681989885856,-74.12858183965174,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-60.88432628553552,-76.10003628144129,-74.43310610940003,-78.30075826801706,,-76.11815718918058,-72.2236111023755,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-58.23719352548201,-77.25999044895022,-72.19470562642442,-80.63663036174273,,-68.91222027217898,-67.32896838383196,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.77681989885856,-74.62603416612998,-73.88432628553552,-75.3206738035946,,-72.29643872528135,-69.03193735270753,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.28268121440033,-76.98712055057496,-72.28189186351403,-75.37099943623952,,-73.33412383304184,-72.20226215252531,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.70046898221074,-77.83967982392039,-71.07807569786763,-77.37255969959382,,-72.9988955536037,-67.92423835650037,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-63.45172016414247,-77.56139265135552,-75.36797597823313,-77.78446981198825,,-73.07000223178025,-73.10206045930887,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.00668082758381,-76.36745726699702,-76.55623533713332,-75.58520078077173,,-74.52358590716914,-68.09545949097115,
4.18,0.0,4.19,0.0,4.17,0.0,4.16,0.0,,0.0,4.14,0.0,,0.0,,0.0,1,1,-61.51062960220045,-80.77419057398615,-72.58536149117295,-77.16601507908126,,-77.15844037483201,-73.46263081858571,
