Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord,RSSI_Mean,RSSI_Variance,RSSI_Median
-68,-71,-77,-68,-83,-74,-80,-81,1,1,-75.25,34.785714285714285,-75.5
-70,-71,-76,-69,127,-75,-80,127,1,1,-23.375,8627.125,-70.5
-69,-69,-75,-69,127,-74,-80,-80,1,1,-48.625,5056.839285714285,-71.5
-69,-68,-76,-69,-83,-74,-80,-80,1,1,-74.875,33.839285714285715,-75.0
-68,-68,-76,-69,-83,-74,-81,-83,1,1,-75.25,42.785714285714285,-75.0
-69,-72,-76,-67,127,-74,-80,-85,1,1,-49.5,5119.714285714285,-73.0
-68,-71,-77,-70,-82,-74,-81,-82,1,1,-75.625,32.267857142857146,-75.5
-70,-70,-75,-71,127,-75,-81,127,1,1,-23.5,8641.714285714286,-70.5
-69,-70,-75,-69,127,-74,-78,-83,1,1,-48.875,5073.553571428572,-72.0
-68,-68,-75,-68,127,-74,-81,127,1,1,-22.5,8534.57142857143,-68.0
-70,-71,-75,-70,127,-74,127,127,1,1,2.625,10610.55357142857,-70.0
-72,-71,-77,-68,127,-74,-81,-81,1,1,-49.625,5114.839285714285,-73.0
-71,-70,-75,-69,127,127,-81,127,1,1,1.875,10749.55357142857,-69.5
-70,-70,-75,-69,-83,127,-79,127,1,1,-24.0,8709.42857142857,-70.0
-69,-69,127,-70,-84,-74,-80,-83,1,1,-50.25,5167.357142857143,-72.0
-70,-70,-75,-69,-83,-74,127,127,1,1,-23.375,8633.982142857143,-70.0
-70,-69,-75,-69,127,-74,-80,127,1,1,-22.875,8570.69642857143,-69.5
-69,-71,-76,-70,127,-74,-80,-82,1,1,-49.375,5100.553571428572,-72.5
-70,-70,-76,-68,-83,-75,-80,-81,1,1,-75.375,31.982142857142858,-75.5
-70,-70,-76,-69,127,-74,127,-81,1,1,-23.25,8615.357142857143,-70.0
-70,-70,127,-69,127,-75,-80,127,1,1,2.125,10705.267857142857,-69.5
-70,-69,-76,-70,-84,-74,-80,-81,1,1,-75.5,32.57142857142857,-75.0
