Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
-67,-59,-73,-71,-84,127,127,-78,0,4
-67,-60,-73,-72,-83,127,127,-78,0,4
-67,-60,-72,-72,127,127,127,-78,0,4
-67,-60,-72,-72,-85,127,127,-78,0,4
-68,-60,-72,-72,127,127,127,-77,0,4
-67,-60,-72,-71,127,127,127,-77,0,4
-67,-61,-72,-72,127,127,127,-77,0,4
-68,-61,-72,-71,127,127,127,-78,0,4
-67,-61,-72,-71,127,127,127,-77,0,4
-67,-61,-72,-70,127,127,127,-78,0,4
-66,-61,-72,-70,127,127,127,-78,0,4
-67,-60,127,127,127,127,127,-77,0,4
-66,-61,-72,-71,127,127,127,-77,0,4
-67,-60,-72,-71,127,127,127,-78,0,4
-67,-61,-73,-71,127,127,127,-77,0,4
-67,127,-72,-71,-82,127,127,-77,0,4
-66,-61,-72,-71,127,127,127,127,0,4
-66,-61,-72,-70,127,127,127,-78,0,4
127,-60,-72,-71,127,127,127,-78,0,4
-68,-60,-72,-71,-81,127,127,-78,0,4
-66,-60,127,-71,127,127,127,127,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-68,-61,-72,-72,127,127,127,-78,0,4
-68,-61,-73,-71,127,127,127,-77,0,4
-67,-60,127,-70,127,127,127,-78,0,4
-68,-60,127,-70,-85,127,127,-78,0,4
127,-60,-73,127,127,127,127,-78,0,4
127,-60,-73,-71,127,127,127,127,0,4
-68,-61,-72,-71,127,127,127,-77,0,4
-67,-60,-72,-71,127,127,127,-78,0,4
-68,-60,127,-71,127,127,127,-78,0,4
-68,-61,-73,-71,127,127,127,127,0,4
-67,-61,-72,-71,127,127,127,-79,0,4
-67,-61,127,-71,127,127,127,-79,0,4
-66,127,-71,-71,-84,127,127,-79,0,4
-68,127,127,-70,-84,127,127,127,0,4
-67,-61,-72,-71,127,127,127,-78,0,4
-67,127,-72,-71,127,127,127,127,0,4
-66,-61,127,-71,127,127,127,-77,0,4
-67,-61,127,-70,-83,127,127,-78,0,4
-66,-61,-73,-70,-82,127,127,-77,0,4
-67,-61,-72,-72,127,127,127,-78,0,4
127,-61,-72,-70,127,127,127,-78,0,4
-67,-61,-73,-71,127,127,127,-78,0,4
-66,-61,-72,-71,127,127,127,-77,0,4
-65,-61,-73,-72,127,127,127,-77,0,4
-66,-60,127,-71,127,127,127,-77,0,4
