Tx_0 RSSI,Tx_1 RSSI,Tx_2 RSSI,Tx_3 RSSI,Tx_4 RSSI,Tx_5 RSSI,Tx_6 RSSI,Tx_7 RSSI,X_Coord,Y_Coord
127,-68,-68,-70,127,127,-78,-68,0,1
127,-68,-68,127,127,127,127,127,0,1
-85,127,127,127,127,-76,-76,127,0,1
127,127,-68,-72,127,-77,-78,-69,0,1
127,-67,127,127,127,-74,-77,127,0,1
127,127,-68,127,-84,-76,-77,-68,0,1
127,-68,-69,-70,127,-76,-78,-68,0,1
127,-69,-69,-70,127,-76,127,-68,0,1
127,-69,-69,-70,-85,-77,-78,-68,0,1
127,127,127,127,-84,-75,127,-68,0,1
127,-69,-69,127,127,-76,-78,-68,0,1
-86,-68,-68,-70,127,127,-77,127,0,1
127,-69,127,127,-86,-77,-79,-68,0,1
127,127,-69,127,-85,127,-78,-68,0,1
-84,-69,-68,127,-84,-76,127,-68,0,1
-85,-69,127,-70,127,-76,127,-68,0,1
127,-68,127,127,-85,-76,127,-68,0,1
127,-69,-69,127,127,-77,127,-67,0,1
127,127,-69,127,127,127,-76,127,0,1
127,127,127,-71,127,127,-75,-67,0,1
-86,-68,-68,-70,127,127,-76,-67,0,1
-85,-68,-68,127,127,127,-76,-67,0,1
127,-68,127,-71,127,-77,-76,-66,0,1
-82,-68,-68,-70,127,127,-76,-67,0,1
127,-68,127,-70,127,127,-77,-68,0,1
127,-68,127,-70,127,127,-77,-68,0,1
-83,127,-68,-69,127,-76,-76,-68,0,1
-83,127,127,-70,-86,127,-76,-67,0,1
127,-69,-68,127,-84,-75,-77,-68,0,1
127,127,-68,-70,-85,127,-76,-68,0,1
127,-69,-68,-70,-85,127,-76,-68,0,1
-83,-69,-68,-70,127,-74,-76,-68,0,1
-83,127,127,127,-85,-75,-77,-68,0,1
-84,-69,127,-70,127,127,-76,-68,0,1
127,-69,-68,127,127,127,127,-68,0,1
-83,-68,-68,-70,127,-74,-76,127,0,1
-84,127,127,-70,127,-75,-77,-68,0,1
127,-68,-68,-70,127,-75,-76,-68,0,1
-85,-69,-68,127,-85,-74,-78,-68,0,1
-85,127,127,-70,-85,-74,127,-68,0,1
-84,-69,-68,127,-85,-73,-78,127,0,1
127,127,-68,-70,127,-74,-78,127,0,1
127,-68,127,-70,127,127,-75,-68,0,1
-90,127,127,127,127,-75,127,127,0,1
127,127,-68,127,127,-75,-77,-67,0,1
127,-68,-68,127,127,-75,-77,-67,0,1
127,127,127,127,127,-75,-77,-67,0,1
127,-68,127,127,127,127,127,127,0,1
127,127,-68,-70,127,127,-77,127,0,1
127,-68,-68,-70,127,-74,127,-67,0,1
127,127,-67,-70,127,-75,-77,-67,0,1
127,127,-68,-70,127,127,-77,-67,0,1
127,-68,127,127,127,127,-77,-67,0,1
127,-69,-68,-70,127,-76,127,-67,0,1
127,-68,-68,-70,127,127,-77,-67,0,1
127,-68,-68,127,127,-75,-78,-67,0,1
127,127,127,-70,127,-75,-78,-67,0,1
127,-68,127,127,127,-75,-77,-67,0,1
127,-68,-67,127,127,127,-77,127,0,1
127,127,127,-70,127,-75,-76,127,0,1
127,127,127,127,127,-76,-77,-67,0,1
127,-68,127,-71,127,-76,-76,-66,0,1
127,127,-68,-70,127,-76,-76,127,0,1
127,-68,-67,-70,127,127,127,-67,0,1
127,-68,-68,-71,127,127,-76,-67,0,1
127,-68,-68,-71,-88,-75,127,-67,0,1
127,-68,-68,-71,127,-78,-76,-67,0,1
127,-69,-67,-71,127,127,127,-67,0,1
127,127,127,-70,127,-76,127,127,0,1
127,-68,-68,-70,-88,-76,127,-67,0,1
127,-68,-68,127,127,127,127,-67,0,1
127,127,127,-70,-87,127,-76,-67,0,1
127,127,-68,-70,127,-76,-76,127,0,1
127,-69,-68,-70,127,127,-76,-67,0,1
127,127,-68,-67,-87,-76,-76,-67,0,1
127,-68,-68,-70,127,-76,-76,-67,0,1
-86,127,-68,-70,127,127,-76,-67,0,1
127,-68,-68,-70,127,-76,-77,-67,0,1
127,-68,127,127,127,127,-77,-67,0,1
127,127,-68,127,127,127,-77,-67,0,1
127,-68,-68,127,127,-75,-78,-67,0,1
127,-68,-69,-71,127,127,-78,-67,0,1
127,-68,-69,-72,127,127,-78,-66,0,1
127,127,127,127,127,-74,127,-67,0,1
127,127,127,-72,127,-75,-77,-67,0,1
127,-68,127,-71,127,-75,-78,127,0,1
-84,-67,127,-71,127,127,-79,-67,0,1
127,-68,-68,-74,127,-75,-78,-67,0,1
127,127,-68,-74,127,127,-77,127,0,1
127,-66,127,-74,127,-76,-77,-67,0,1
127,127,-68,127,127,127,-77,-67,0,1
127,-68,127,-73,127,127,-77,-66,0,1
127,127,127,-74,127,-76,-77,-66,0,1
-84,-68,-68,-73,127,127,-77,-67,0,1
127,-67,127,127,127,-76,127,-68,0,1
127,127,-69,-71,127,127,127,-67,0,1
127,-69,127,-72,127,127,-77,127,0,1
127,127,-69,-71,127,127,127,-71,0,1
127,-67,-68,-75,127,-77,-79,-67,0,1
127,-68,-68,-81,127,-79,-78,-68,0,1
127,127,127,-76,127,-76,127,-68,0,1
127,-68,127,-76,127,127,-79,-68,0,1
